"","1_L25_C01_IL4625","1_L25_C04_IL4625","1_L25_C06_IL4625","1_L25_C08_IL4625","1_L25_C10_IL4625","1_L25_C17_IL4625","1_L25_C19_IL4625","1_L25_C20_IL4625","1_L25_C23_IL4625","1_L25_C26_IL4625","1_L25_C31_IL4625","1_L25_C34_IL4625","1_L25_C36_IL4625","1_L25_C39_IL4625","1_L25_C42_IL4625","1_L25_C45_IL4625","1_L25_C47_IL4625","1_L25_C50_IL4625","1_L25_C51_IL4625","1_L25_C54_IL4625","1_L25_C56_IL4625","1_L25_C62_IL4625","1_L25_C64_IL4625","1_L25_C67_IL4625","1_L25_C68_IL4625","1_L25_C69_IL4625","1_L25_C70_IL4625","1_L25_C72_IL4625","1_L25_C73_IL4625","1_L25_C76_IL4625","1_L25_C78_IL4625","1_L25_C79_IL4625","1_L25_C80_IL4625","1_L25_C82_IL4625","1_L25_C83_IL4625","1_L25_C85_IL4625","1_L25_C88_IL4625","1_L25_C89_IL4625","1_L25_C93_IL4625","1_L25_C94_IL4625","1_L25_C95_IL4625","1_L25_C96_IL4625"
"Tmem121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmem123",0,0,6.21945,0.325283,0,0,0,14.5233,0,0,0.869811,0,0,41.6963,10.9383,52.1904,0,0,0,0.0955456,94.9999,0,0,0,0,0,0,1.11375,0,0,0,0.0948897,0,0,0,0,0,0,0.114124,51.4669,0,0
"Tmem125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmem126a",0.438097,0.417163,0,0.510158,1.52827,0,0.449778,23.6645,0,0,0,0,3.88826,0,4.74178,7.68581,0.583953,5.61662,1.90028,3.15155,61.3217,0,0.980685,1.04637,0,249.192,21.9851,0.438189,0,0,0,0,2.48547,0,15.8204,0,0,0,0,0,0,0
"Tmem126b",0,0,0,0,0,0,0,0,0,0,21.5139,0,0,0,0,0,0,0,0,149.192,0,101.572,0,0,0,0,0,105.26,0,0,277.541,0,96.6949,0,0,0,0,0,0,0,0,0
"Tmem127",0.118067,0.171328,0.0599127,0.413581,0.556445,15.331,1.1648,0.05275,0.188424,0.279271,0.207277,0.628132,0.152714,0.111991,0.127538,0,0.0795831,0,0,21.9849,0,0,0,0,0,0,0,0.176951,0,0,0,0,0,2.1803,0,0,0,0,0,12.8206,0,0
"Tmem128",0.280202,0.537138,69.2354,0,143.164,22.3116,0,0,0,0,235.713,12.7417,0,0,52.727,44.3598,2.25149,0,0,0.288084,0,0,0,146.469,0,0,0,2.94145,0,0,0,0,0.266179,0,0,0,52.9666,0,0.340959,0.26164,0,0
"Tmem129",0,0.117066,0,0,0.142642,0,0.251517,0,0.12877,0.286128,0.568171,0,0,0,0.131103,0.362221,0.326513,0.119148,0,0,0.339815,0,0.137763,0,0.139219,0,0,2.18243,0.233017,0.394741,0.25107,0.123697,0,0.54084,0.116348,0.348569,0.288175,33.518,0.446562,0,0,0
"Tmem130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmem131",0.156271,0.189131,50.5631,0.0456237,0.414569,0.106109,0.324765,0.104732,0.332786,0.231245,0.365761,11.8122,0.202344,0.185454,0.0843943,0.0388049,0.210795,0,0.126807,0.0401938,0.0547884,0,0,0,0.0897519,0,60.9936,3.16163,0.263275,0.0851313,0.0406323,0.0400666,0.0373782,0.262705,0,0.0565485,0,4.37902,0,13.047,0,0
"Tmem132a",0,20.0824,0,0,10.2998,0,0,0,0,0,0,0.240581,0,0,0,0,0,0,4.31148e-07,0.155136,0,0,0,0.0906241,0,0,0,0,0,0,0,0,0,0,0,0,17.7409,0,0,0,2.57007,0
"Tmem132b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmem132c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmem132d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmem132e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmem134",0,0,34.6507,1.81794,0,3.7332,12.4912,0,0,0,0,0,0,0.367285,0,152.152,0,5.17031,0.210948,1.00166,23.4314,0.246249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238085,177.98,57.877,0
"Tmem135",0,0,0,6.96312,0,0,0,0,0,0,0,0,2.93681,0,0,0,0,0,0,0,0,0,0,0,0.489125,1.57552,0,0,0,0,0,0,0.135728,0,0,0,0,0,0,0,0,64.6319
"Tmem136",0.150302,0.145305,0,0,0,0,0,0,0,0.444054,0,0,0,0,0,0.149415,0,0.0737558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmem138",0,0,0.349515,0,0,0,0,0,0,0,0,421.388,103.844,0.323378,21.11,0,0,0,42.672,27.1587,84.3118,0,0,1.23935,0,0,0,0,0,203.444,0.352384,0,0,0,0,0,0,0,0,0,0,0
"Tmem139",0,0,0,0,0,0,0,0,0,0,0,0,156.822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmem140",223.032,0,0,0.964603,0,0,0,0,0,8.24466,0,0,0,0.291754,0,0,0,0,0.444761,0,0,0.130173,0,327.781,2.35819,1.22145,0,1.53987,0.000334823,0,3.39229,0,0,0,0,0,0,0,0,0,0.134626,0
